Título de trazado: Iner.sumideros.meteo							
N.º	Fecha Tiempo, GMT-05:00	Temp, °C (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbTemp)	HR, % (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbHR)	Lluvia, mm (LGR S/N: 10450278, SEN S/N: 10440752, LBL: Lluvia)	Dirección del viento, ø (LGR S/N: 10450278, SEN S/N: 10468828, LBL: Direccion del viento)	Velocidad del viento, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad del viento)	Velocidad de Ráfagas, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad de rafagas)
19058	08/02/2017 18:31	24.895	83.800	0.00	198.0	1.76	5.54
19059	08/02/2017 18:41	24.532	84.600	0.00	192.3	1.76	5.79
19060	08/02/2017 18:51	24.436	85.400	0.00	200.8	1.76	5.29
19061	08/02/2017 19:01	24.388	84.900	0.00	200.8	1.51	5.29
19062	08/02/2017 19:11	24.339	85.100	0.00	196.5	1.76	5.29
19063	08/02/2017 19:21	24.388	85.500	0.00	199.4	1.26	5.04
19064	08/02/2017 19:31	24.195	85.700	0.00	192.3	2.52	5.54
19065	08/02/2017 19:41	24.267	85.600	0.00	200.8	2.01	6.30
19066	08/02/2017 19:51	23.905	85.400	0.00	217.6	2.27	6.04
19067	08/02/2017 20:01	23.521	85.900	0.00	207.8	2.77	6.80
19068	08/02/2017 20:11	23.472	86.600	0.00	199.4	2.52	6.04
19069	08/02/2017 20:21	23.160	86.900	0.00	199.4	2.27	5.79
19070	08/02/2017 20:31	23.088	87.500	0.00	202.2	2.52	8.56
19071	08/02/2017 20:41	22.944	87.900	0.00	219.0	2.52	8.06
19072	08/02/2017 20:51	22.968	88.200	0.00	213.4	1.76	7.05
19073	08/02/2017 21:01	22.824	88.400	0.00	205.0	2.01	6.55
19074	08/02/2017 21:11	22.585	88.800	0.00	205.0	2.01	7.30
19075	08/02/2017 21:21	22.513	89.400	0.00	206.4	2.01	7.30
19076	08/02/2017 21:31	22.513	89.800	0.00	206.4	2.52	6.80
19077	08/02/2017 21:41	22.489	90.200	0.00	210.6	2.27	5.79
19078	08/02/2017 21:51	22.537	90.100	0.00	217.6	1.76	6.04
19079	08/02/2017 22:01	22.537	90.100	0.00	203.6	2.01	5.54
19080	08/02/2017 22:11	22.345	90.300	0.00	205.0	2.27	6.55
19081	08/02/2017 22:21	22.154	90.700	0.00	209.2	2.01	5.54
19082	08/02/2017 22:31	22.106	91.100	0.00	202.2	1.76	5.29
19083	08/02/2017 22:41	21.987	91.500	0.00	193.7	2.01	6.30
19084	08/02/2017 22:51	21.891	92.000	0.00	196.5	2.52	7.30
19085	08/02/2017 23:01	21.939	92.400	0.00	202.2	2.52	5.79
19086	08/02/2017 23:11	21.963	92.500	0.00	209.2	2.01	5.79
19087	08/02/2017 23:21	21.891	92.300	0.00	205.0	1.76	4.28
19088	08/02/2017 23:31	21.867	92.300	0.00	205.0	1.26	4.53
19089	08/02/2017 23:41	21.867	92.400	0.00	199.4	1.76	5.79
19090	08/02/2017 23:51	21.963	92.500	0.00	207.8	1.26	3.78
19091	08/03/2017 0:01	21.939	92.500	0.00	210.6	1.76	4.78
19092	08/03/2017 0:11	21.891	92.400	0.00	214.8	1.51	5.54
19093	08/03/2017 0:21	21.915	92.400	0.00	210.6	1.76	5.04
19094	08/03/2017 0:31	21.891	92.400	0.00	196.5	1.51	4.53
19095	08/03/2017 0:41	21.819	92.500	0.00	196.5	2.01	5.04
19096	08/03/2017 0:51	21.939	92.800	0.00	205.0	1.51	3.78
19097	08/03/2017 1:01	21.987	92.700	0.00	209.2	1.51	6.04
19098	08/03/2017 1:11	22.106	92.600	0.00	199.4	1.51	5.54
19099	08/03/2017 1:21	22.034	92.400	0.00	202.2	1.76	5.04
19100	08/03/2017 1:31	22.154	92.300	0.00	205.0	1.01	4.78
19101	08/03/2017 1:41	22.178	92.000	0.00	169.9	1.26	4.28
19102	08/03/2017 1:51	22.154	91.700	0.00	188.1	1.51	4.78
19103	08/03/2017 2:01	22.154	91.700	0.00	162.9	1.26	4.53
19104	08/03/2017 2:11	22.082	91.700	0.00	206.4	1.76	6.30
19105	08/03/2017 2:21	22.034	91.700	0.00	205.0	1.26	4.28
19106	08/03/2017 2:31	22.011	91.900	0.00	202.2	1.76	5.29
19107	08/03/2017 2:41	21.891	91.900	0.00	189.5	1.51	4.53
19108	08/03/2017 2:51	21.939	92.100	0.00	210.6	0.76	3.53
19109	08/03/2017 3:01	22.034	92.200	0.00	188.1	0.50	1.76
19110	08/03/2017 3:11	22.058	92.100	0.00	146.0	0.76	3.02
19111	08/03/2017 3:21	22.034	92.000	0.00	192.3	0.76	3.02
19112	08/03/2017 3:31	22.034	92.000	0.00	136.2	0.76	3.02
19113	08/03/2017 3:41	22.130	92.000	0.00	122.1	0.50	2.01
19114	08/03/2017 3:51	22.130	91.700	0.00	134.8	0.25	2.77
19115	08/03/2017 4:01	22.274	91.500	0.00	176.9	0.50	2.27
19116	08/03/2017 4:11	22.250	91.100	0.00	160.0	0.25	2.27
19117	08/03/2017 4:21	22.226	90.900	0.00	203.6	0.25	2.27
19118	08/03/2017 4:31	22.369	90.900	0.00	124.9	0.25	1.26
19119	08/03/2017 4:41	22.369	90.600	0.00	230.2	0.25	2.01
19120	08/03/2017 4:51	22.250	90.600	0.00	230.2	0.25	2.27
19121	08/03/2017 5:01	22.202	90.700	0.00	212.0	0.76	3.02
19122	08/03/2017 5:11	22.106	91.100	0.00	216.2	0.50	2.27
19123	08/03/2017 5:21	21.963	91.500	0.00	212.0	0.50	2.27
19124	08/03/2017 5:31	21.891	92.000	0.00	214.8	1.01	3.27
19125	08/03/2017 5:41	22.011	92.400	0.00	143.2	0.25	1.76
19126	08/03/2017 5:51	22.058	92.500	0.00	123.5	0.25	2.27
19127	08/03/2017 6:01	22.058	92.500	0.00	105.3	0.25	1.76
19128	08/03/2017 6:11	22.058	92.500	0.00	115.1	0.50	1.76
19129	08/03/2017 6:21	22.058	92.600	0.00	133.4	0.50	2.27
19130	08/03/2017 6:31	22.058	92.700	0.00	127.8	0.25	1.76
19131	08/03/2017 6:41	22.034	92.800	0.00	117.9	0.50	1.51
19132	08/03/2017 6:51	21.915	93.000	0.00	117.9	0.50	2.27
19133	08/03/2017 7:01	21.891	93.400	0.00	119.3	0.50	1.51
19134	08/03/2017 7:11	22.011	93.600	0.00	117.9	0.50	2.01
19135	08/03/2017 7:21	22.011	93.800	0.00	132.0	0.50	2.77
19136	08/03/2017 7:31	22.226	93.900	0.00	169.9	0.50	2.77
19137	08/03/2017 7:41	22.154	93.900	0.00	189.5	0.50	2.52
19138	08/03/2017 7:51	22.011	93.700	0.00	206.4	1.26	3.78
19139	08/03/2017 8:01	21.867	94.000	0.00	198.0	1.01	4.28
19140	08/03/2017 8:11	22.106	94.200	0.00	209.2	0.76	3.27
19141	08/03/2017 8:21	22.250	94.200	0.00	200.8	1.01	3.27
19142	08/03/2017 8:31	22.776	93.800	0.00	137.6	0.50	3.02
19143	08/03/2017 8:41	22.705	92.600	0.00	203.6	1.01	3.78
19144	08/03/2017 8:51	23.256	92.000	0.00	203.6	1.01	4.03
19145	08/03/2017 9:01	23.424	90.400	0.00	205.0	1.51	4.53
19146	08/03/2017 9:11	23.689	89.000	0.00	193.7	1.51	3.78
19147	08/03/2017 9:21	23.881	88.200	0.00	206.4	1.51	4.53
19148	08/03/2017 9:31	23.761	87.500	0.00	183.9	1.26	3.53
19149	08/03/2017 9:41	24.171	87.200	0.00	210.6	1.26	5.04
19150	08/03/2017 9:51	24.460	85.900	0.00	183.9	1.51	4.53
19151	08/03/2017 10:01	24.388	84.900	0.00	220.4	2.01	4.53
19152	08/03/2017 10:11	25.089	84.500	0.00	199.4	1.51	4.78
19153	08/03/2017 10:21	25.234	83.000	0.00	202.2	1.26	4.03
19154	08/03/2017 10:31	25.671	81.800	0.00	199.4	1.51	4.28
19155	08/03/2017 10:41	26.378	80.600	0.00	205.0	1.51	5.04
19156	08/03/2017 10:51	26.842	78.600	0.00	174.1	1.26	3.27
19157	08/03/2017 11:01	26.842	77.500	0.00	193.7	1.26	4.53
19158	08/03/2017 11:11	26.989	76.000	0.00	167.1	1.26	3.78
19159	08/03/2017 11:21	27.924	75.300	0.00	185.3	1.01	4.78
19160	08/03/2017 11:31	29.265	74.200	0.00	231.6	1.01	4.28
19161	08/03/2017 11:41	28.493	72.400	0.00	202.2	1.76	4.53
19162	08/03/2017 11:51	28.048	72.100	0.00	205.0	1.76	3.78
19163	08/03/2017 12:01	28.568	73.000	0.00	178.3	1.26	4.28
19164	08/03/2017 12:11	28.518	72.300	0.00	210.6	1.26	4.53
19165	08/03/2017 12:21	26.818	71.900	0.00	179.7	1.51	5.04
19166	08/03/2017 12:31	28.692	74.000	0.00	199.4	1.26	4.03
19167	08/03/2017 12:41	28.891	71.800	0.00	183.9	1.76	4.53
19168	08/03/2017 12:51	29.439	70.400	0.00	192.3	1.51	4.53
19169	08/03/2017 13:01	29.265	70.000	0.00	183.9	1.26	4.78
19170	08/03/2017 13:11	28.419	69.700	0.00	183.9	1.26	4.53
19171	08/03/2017 13:21	28.518	70.700	0.00	193.7	1.51	5.29
19172	08/03/2017 13:31	27.653	71.600	0.00	178.3	2.27	4.53
19173	08/03/2017 13:41	29.765	70.700	0.00	198.0	1.26	3.78
19174	08/03/2017 13:51	28.816	67.800	0.00	200.8	1.26	3.53
19175	08/03/2017 14:01	28.667	69.000	0.00	171.3	1.76	4.53
19176	08/03/2017 14:11	28.941	69.100	0.00	183.9	2.01	4.78
19177	08/03/2017 14:21	29.565	68.300	0.00	198.0	1.51	4.53
19178	08/03/2017 14:31	28.816	68.100	0.00	169.9	2.01	5.29
19179	08/03/2017 14:41	29.240	68.600	0.00	178.3	2.01	5.54
19180	08/03/2017 14:51	28.866	68.600	0.00	175.5	2.27	4.53
19181	08/03/2017 15:01	30.167	67.700	0.00	189.5	1.26	4.03
19182	08/03/2017 15:11	29.916	66.400	0.00	186.7	1.01	3.78
19183	08/03/2017 15:21	30.545	65.400	0.00	203.6	1.26	4.28
19184	08/03/2017 15:31	30.621	64.900	0.00	195.1	1.01	3.78
19185	08/03/2017 15:41	30.217	65.300	0.00	165.7	1.01	3.53
19186	08/03/2017 15:51	29.290	65.800	0.00	164.3	1.76	4.03
19187	08/03/2017 16:01	29.715	67.100	0.00	185.3	1.51	4.53
19188	08/03/2017 16:11	30.217	66.500	0.00	238.7	0.76	2.77
19189	08/03/2017 16:21	30.192	66.400	0.00	196.5	1.26	3.78
19190	08/03/2017 16:31	30.167	66.400	0.00	193.7	1.26	4.28
19191	08/03/2017 16:41	29.389	66.600	0.00	178.3	1.26	4.53
19192	08/03/2017 16:51	29.115	67.800	0.00	189.5	1.51	4.53
19193	08/03/2017 17:01	29.315	68.400	0.00	200.8	1.51	4.78
19194	08/03/2017 17:11	29.365	68.300	0.00	185.3	1.01	3.53
19195	08/03/2017 17:21	28.147	68.900	0.00	178.3	2.01	5.54
19196	08/03/2017 17:31	28.221	70.600	0.00	181.1	2.52	6.30
19197	08/03/2017 17:41	27.875	70.900	0.00	186.7	1.51	4.53
19198	08/03/2017 17:51	27.604	71.900	0.00	188.1	1.51	4.53
19199	08/03/2017 18:01	26.965	72.900	0.00	182.5	2.01	6.04
19200	08/03/2017 18:11	26.793	74.500	0.00	182.5	1.76	4.78
19201	08/03/2017 18:21	26.353	75.300	0.00	182.5	2.27	5.54
19202	08/03/2017 18:31	25.963	76.500	0.00	183.9	2.52	5.29
19203	08/03/2017 18:41	25.890	77.500	0.00	183.9	2.01	5.04
19204	08/03/2017 18:51	25.793	78.100	0.00	186.7	2.27	6.55
19205	08/03/2017 19:01	25.477	78.700	0.00	190.9	2.01	6.30
19206	08/03/2017 19:11	25.186	79.900	0.00	190.9	2.77	7.30
19207	08/03/2017 19:21	25.016	80.500	0.00	182.5	2.52	6.04
19208	08/03/2017 19:31	24.726	81.600	0.00	179.7	2.27	7.05
19209	08/03/2017 19:41	24.750	82.500	0.00	189.5	2.01	5.29
19210	08/03/2017 19:51	24.412	82.200	0.00	196.5	2.27	6.30
19211	08/03/2017 20:01	24.074	82.700	0.00	203.6	2.52	6.30
19212	08/03/2017 20:11	24.002	83.400	0.00	198.0	1.76	6.04
19213	08/03/2017 20:21	23.737	84.000	0.00	217.6	2.01	5.79
19214	08/03/2017 20:31	23.641	84.300	0.00	196.5	1.76	7.30
19215	08/03/2017 20:41	23.376	84.800	0.00	207.8	1.26	6.04
19216	08/03/2017 20:51	23.448	85.100	0.00	176.9	0.50	3.02
19217	08/03/2017 21:01	23.184	85.300	0.00	207.8	1.01	4.53
19218	08/03/2017 21:11	22.705	85.800	0.00	193.7	1.01	3.53
19219	08/03/2017 21:21	22.585	86.300	0.00	206.4	1.26	6.04
19220	08/03/2017 21:31	22.465	86.700	0.00	178.3	0.76	3.27
19221	08/03/2017 21:41	22.226	87.100	0.00	205.0	0.76	3.53
19222	08/03/2017 21:51	22.130	87.700	0.00	216.2	1.26	5.54
19223	08/03/2017 22:01	22.034	88.500	0.00	196.5	1.51	6.04
19224	08/03/2017 22:11	21.843	89.000	0.00	227.4	1.76	5.04
19225	08/03/2017 22:21	21.819	89.500	0.00	189.5	2.01	6.04
19226	08/03/2017 22:31	21.724	89.800	0.00	210.6	2.52	6.80
19227	08/03/2017 22:41	21.819	90.100	0.00	206.4	2.27	6.80
19228	08/03/2017 22:51	21.987	89.700	0.00	175.5	1.51	4.28
19229	08/03/2017 23:01	21.891	89.600	0.00	188.1	1.51	5.54
19230	08/03/2017 23:11	21.867	89.500	0.00	167.1	1.26	4.78
19231	08/03/2017 23:21	21.772	89.400	0.00	202.2	1.51	5.04
19232	08/03/2017 23:31	21.700	89.500	0.00	183.9	1.51	5.54
19233	08/03/2017 23:41	21.795	89.800	0.00	202.2	1.26	4.28
19234	08/03/2017 23:51	21.748	89.700	0.00	220.4	1.51	4.78
19235	08/04/2017 0:01	21.652	89.800	0.00	199.4	2.01	5.54
19236	08/04/2017 0:11	21.700	89.800	0.00	196.5	2.52	5.54
19237	08/04/2017 0:21	21.700	89.600	0.00	209.2	2.52	6.80
19238	08/04/2017 0:31	21.676	89.400	0.00	219.0	2.52	7.55
19239	08/04/2017 0:41	21.915	89.400	0.00	200.8	1.76	5.54
19240	08/04/2017 0:51	21.939	89.000	0.00	199.4	1.51	4.53
19241	08/04/2017 1:01	21.819	88.900	0.00	172.7	1.51	5.29
19242	08/04/2017 1:11	21.819	89.000	0.00	189.5	1.26	3.27
19243	08/04/2017 1:21	21.772	89.000	0.00	178.3	1.01	4.53
19244	08/04/2017 1:31	21.700	89.000	0.00	216.2	1.51	4.03
19245	08/04/2017 1:41	21.700	89.000	0.00	146.0	1.26	4.03
19246	08/04/2017 1:51	21.700	89.100	0.00	147.4	1.26	4.28
19247	08/04/2017 2:01	21.628	88.900	0.00	137.6	1.01	2.52
19248	08/04/2017 2:11	21.700	88.800	0.00	105.3	0.76	2.52
19249	08/04/2017 2:21	21.700	88.700	0.00	164.3	1.01	4.53
19250	08/04/2017 2:31	21.604	88.600	0.00	181.1	1.01	5.04
19251	08/04/2017 2:41	21.724	88.600	0.00	137.6	1.01	5.54
19252	08/04/2017 2:51	21.557	88.600	0.00	202.2	1.26	4.53
19253	08/04/2017 3:01	21.485	88.900	0.00	207.8	1.76	5.29
19254	08/04/2017 3:11	21.557	88.900	0.00	193.7	1.01	3.53
19255	08/04/2017 3:21	21.509	89.100	0.00	188.1	1.51	4.53
19256	08/04/2017 3:31	21.509	89.100	0.00	176.9	1.01	3.27
19257	08/04/2017 3:41	21.437	89.200	0.00	198.0	1.26	5.29
19258	08/04/2017 3:51	21.366	89.200	0.00	192.3	1.01	4.53
19259	08/04/2017 4:01	21.437	89.400	0.00	213.4	1.01	4.28
19260	08/04/2017 4:11	21.413	89.400	0.00	200.8	1.01	4.03
19261	08/04/2017 4:21	21.390	89.500	0.00	198.0	0.76	3.02
19262	08/04/2017 4:31	21.390	89.700	0.00	221.8	1.01	4.03
19263	08/04/2017 4:41	21.437	89.900	0.00	217.6	1.01	4.28
19264	08/04/2017 4:51	21.485	90.000	0.00	192.3	1.01	4.28
19265	08/04/2017 5:01	21.461	90.000	0.00	157.2	0.76	3.53
19266	08/04/2017 5:11	21.366	90.100	0.00	202.2	0.50	2.77
19267	08/04/2017 5:21	21.366	90.300	0.00	195.1	0.50	2.77
19268	08/04/2017 5:31	21.342	90.400	0.00	200.8	0.25	2.01
19269	08/04/2017 5:41	21.366	90.500	0.00	213.4	0.50	2.77
19270	08/04/2017 5:51	21.270	90.500	0.00	206.4	0.50	2.52
19271	08/04/2017 6:01	21.318	90.600	0.00	155.8	0.25	2.27
19272	08/04/2017 6:11	21.270	90.800	0.00	134.8	0.76	2.52
19273	08/04/2017 6:21	21.270	90.900	0.00	119.3	1.01	2.77
19274	08/04/2017 6:31	21.318	90.900	0.00	122.1	1.01	2.52
19275	08/04/2017 6:41	21.366	91.000	0.00	127.8	1.01	3.02
19276	08/04/2017 6:51	21.485	90.800	0.00	113.7	0.76	2.77
19277	08/04/2017 7:01	21.628	90.500	0.00	123.5	0.50	1.76
19278	08/04/2017 7:11	21.652	90.200	0.00	155.8	0.50	2.27
19279	08/04/2017 7:21	21.795	90.000	0.00	110.9	0.50	1.76
19280	08/04/2017 7:31	22.130	89.600	0.00	154.4	0.25	2.01
19281	08/04/2017 7:41	22.657	89.000	0.00	206.4	0.00	1.76
19282	08/04/2017 7:51	22.561	88.000	0.00	160.0	0.25	1.51
19283	08/04/2017 8:01	22.609	87.700	0.00	189.5	0.25	1.51
19284	08/04/2017 8:11	22.920	87.400	0.00	154.4	0.50	2.27
19285	08/04/2017 8:21	23.232	86.800	0.00	132.0	0.25	1.76
19286	08/04/2017 8:31	23.448	86.500	0.00	205.0	0.25	2.01
19287	08/04/2017 8:41	23.472	85.900	0.00	176.9	0.25	2.01
19288	08/04/2017 8:51	23.689	85.000	0.00	133.4	0.00	1.01
19289	08/04/2017 9:01	23.617	84.000	0.00	117.9	0.50	2.27
19290	08/04/2017 9:11	23.761	84.200	0.00	200.8	0.76	2.27
19291	08/04/2017 9:21	24.122	83.800	0.00	200.8	0.76	2.52
19292	08/04/2017 9:31	25.234	83.000	0.00	209.2	0.76	3.02
19293	08/04/2017 9:41	25.258	80.300	0.00	139.0	0.76	2.52
19294	08/04/2017 9:51	25.598	79.200	0.00	178.3	1.01	3.78
19295	08/04/2017 10:01	25.695	78.800	0.00	168.5	0.76	2.77
19296	08/04/2017 10:11	26.622	77.800	0.00	198.0	0.76	3.02
19297	08/04/2017 10:21	25.744	76.600	0.00	213.4	0.76	2.52
19298	08/04/2017 10:31	26.867	77.300	0.00	162.9	1.01	3.02
19299	08/04/2017 10:41	27.899	75.600	0.00	164.3	0.50	3.53
19300	08/04/2017 10:51	26.134	75.200	0.00	178.3	1.26	4.03
19301	08/04/2017 11:01	26.916	75.200	0.00	179.7	1.01	3.53
19302	08/04/2017 11:11	27.727	74.100	0.00	195.1	1.01	3.02
19303	08/04/2017 11:21	27.014	72.800	0.00	189.5	1.26	3.53
19304	08/04/2017 11:31	27.014	73.500	0.00	192.3	1.01	3.78
19305	08/04/2017 11:41	27.358	73.400	0.00	195.1	1.26	4.03
19306	08/04/2017 11:51	27.308	72.300	0.00	195.1	1.76	3.53
19307	08/04/2017 12:01	27.702	72.200	0.00	162.9	1.01	5.04
19308	08/04/2017 12:11	27.702	71.900	0.00	181.1	1.51	4.53
19309	08/04/2017 12:21	29.015	71.000	0.00	162.9	1.01	3.78
19310	08/04/2017 12:31	28.717	69.400	0.00	179.7	1.01	3.27
19311	08/04/2017 12:41	28.816	68.700	0.00	223.2	0.76	3.53
19312	08/04/2017 12:51	29.790	68.500	0.00	214.8	1.51	4.03
19313	08/04/2017 13:01	27.481	69.100	0.00	165.7	2.01	5.04
19314	08/04/2017 13:11	28.692	69.800	0.00	171.3	1.51	3.78
19315	08/04/2017 13:21	27.554	68.700	0.00	174.1	1.26	4.03
19316	08/04/2017 13:31	28.866	69.400	0.00	154.4	1.51	4.28
19317	08/04/2017 13:41	28.916	68.600	0.00	162.9	1.76	4.78
19318	08/04/2017 13:51	29.140	68.000	0.00	314.5	1.26	3.27
19319	08/04/2017 14:01	28.791	68.700	0.00	283.6	1.51	4.28
19320	08/04/2017 14:11	28.468	67.900	0.00	275.2	1.76	5.54
19321	08/04/2017 14:21	28.394	68.200	0.00	137.6	2.01	4.78
19322	08/04/2017 14:31	29.065	68.100	0.00	153.0	1.76	4.03
19323	08/04/2017 14:41	28.468	67.600	0.00	299.0	1.51	4.28
19324	08/04/2017 14:51	28.990	67.900	0.00	161.5	1.76	4.78
19325	08/04/2017 15:01	28.791	68.100	0.00	134.8	2.01	6.30
19326	08/04/2017 15:11	29.615	67.700	0.00	199.4	1.76	6.04
19327	08/04/2017 15:21	28.023	67.500	0.00	161.5	2.52	5.54
19328	08/04/2017 15:31	27.924	68.600	0.00	176.9	2.27	5.29
19329	08/04/2017 15:41	28.270	68.000	0.00	136.2	1.76	4.53
19330	08/04/2017 15:51	28.916	67.900	0.00	304.7	1.51	3.78
19331	08/04/2017 16:01	28.717	67.700	0.00	273.8	1.51	4.53
19332	08/04/2017 16:11	28.444	68.700	0.00	314.5	1.51	3.53
19333	08/04/2017 16:21	29.015	68.100	0.00	275.2	1.51	3.78
19334	08/04/2017 16:31	28.816	67.400	0.00	279.4	1.51	4.28
19335	08/04/2017 16:41	28.891	67.400	0.00	282.2	1.76	4.03
19336	08/04/2017 16:51	29.065	67.300	0.00	282.2	1.51	3.53
19337	08/04/2017 17:01	29.140	67.300	0.00	324.3	1.26	3.53
19338	08/04/2017 17:11	29.215	66.700	0.00	244.3	1.26	3.02
19339	08/04/2017 17:21	29.065	66.900	0.00	271.0	1.01	3.27
19340	08/04/2017 17:31	28.518	67.100	0.00	269.6	1.26	3.02
19341	08/04/2017 17:41	28.394	68.200	0.00	122.1	1.26	3.02
19342	08/04/2017 17:51	28.023	69.000	0.00	224.6	1.26	3.27
19343	08/04/2017 18:01	27.431	69.500	0.00	168.5	2.01	3.78
19344	08/04/2017 18:11	27.628	70.600	0.00	200.8	1.51	4.03
19345	08/04/2017 18:21	27.530	71.100	0.00	161.5	1.01	4.03
19346	08/04/2017 18:31	27.259	71.100	0.00	331.3	1.01	3.27
19347	08/04/2017 18:41	27.210	71.400	0.00	242.9	0.76	2.52
19348	08/04/2017 18:51	26.891	71.600	0.00	195.1	0.76	3.53
19349	08/04/2017 19:01	26.451	74.500	0.00	192.3	1.51	5.04
19350	08/04/2017 19:11	26.134	76.400	0.00	178.3	1.51	4.53
19351	08/04/2017 19:21	25.963	77.100	0.00	182.5	1.01	3.27
19352	08/04/2017 19:31	25.720	78.300	0.00	183.9	1.76	4.28
19353	08/04/2017 19:41	25.671	79.100	0.00	188.1	1.51	4.53
19354	08/04/2017 19:51	25.550	79.200	0.00	183.9	1.76	4.28
19355	08/04/2017 20:01	25.355	79.600	0.00	186.7	1.51	4.28
19356	08/04/2017 20:11	25.113	80.900	0.00	182.5	1.76	4.78
19357	08/04/2017 20:21	24.798	81.600	0.00	198.0	1.51	5.54
19358	08/04/2017 20:31	24.557	81.900	0.00	192.3	2.27	6.04
19359	08/04/2017 20:41	24.532	82.000	0.00	199.4	1.51	5.29
19360	08/04/2017 20:51	24.074	82.100	0.00	200.8	1.51	5.29
19361	08/04/2017 21:01	23.665	82.800	0.00	209.2	1.76	6.30
19362	08/04/2017 21:11	23.497	83.600	0.00	209.2	1.51	4.78
19363	08/04/2017 21:21	23.304	84.100	0.00	198.0	1.51	4.53
19364	08/04/2017 21:31	23.136	84.700	0.00	193.7	1.76	5.04
19365	08/04/2017 21:41	22.872	85.300	0.00	161.5	1.26	5.54
19366	08/04/2017 21:51	22.585	85.900	0.00	219.0	1.51	7.55
19367	08/04/2017 22:01	22.321	86.700	0.00	205.0	2.01	5.29
19368	08/04/2017 22:11	22.058	86.900	0.00	200.8	2.27	6.80
19369	08/04/2017 22:21	22.011	87.500	0.00	213.4	2.52	8.06
19370	08/04/2017 22:31	21.891	87.800	0.00	205.0	1.51	7.30
19371	08/04/2017 22:41	21.748	88.100	0.00	195.1	1.26	4.28
19372	08/04/2017 22:51	21.628	88.700	0.00	186.7	1.26	5.79
19373	08/04/2017 23:01	21.461	89.100	0.00	212.0	1.76	5.29
19374	08/04/2017 23:11	21.318	89.600	0.00	212.0	1.51	5.79
19375	08/04/2017 23:21	21.223	90.200	0.00	210.6	2.01	4.78
19376	08/04/2017 23:31	21.366	90.700	0.00	207.8	1.51	5.29
19377	08/04/2017 23:41	21.270	90.400	0.00	181.1	1.51	5.04
19378	08/04/2017 23:51	21.246	90.600	0.00	188.1	1.51	5.54
19379	08/05/2017 0:01	21.246	90.700	0.00	167.1	1.26	6.04
19380	08/05/2017 0:11	21.151	90.800	0.00	196.5	1.51	4.03
19381	08/05/2017 0:21	20.984	91.000	0.00	219.0	1.51	5.79
19382	08/05/2017 0:31	21.008	91.400	0.00	207.8	1.51	5.04
19383	08/05/2017 0:41	20.960	91.700	0.00	213.4	1.76	5.79
19384	08/05/2017 0:51	20.960	92.000	0.00	205.0	2.01	5.29
19385	08/05/2017 1:01	20.984	92.200	0.00	214.8	1.76	5.04
19386	08/05/2017 1:11	20.913	92.200	0.00	207.8	1.76	5.04
19387	08/05/2017 1:21	21.056	92.400	0.00	188.1	1.26	6.55
19388	08/05/2017 1:31	20.984	92.300	0.00	214.8	1.26	5.04
19389	08/05/2017 1:41	20.913	92.500	0.00	214.8	1.76	5.54
19390	08/05/2017 1:51	21.103	92.600	0.00	193.7	1.26	4.28
19391	08/05/2017 2:01	21.056	92.500	0.00	206.4	1.51	5.54
19392	08/05/2017 2:11	21.175	92.500	0.00	188.1	1.26	4.78
19393	08/05/2017 2:21	21.056	92.600	0.00	213.4	1.26	4.78
19394	08/05/2017 2:31	20.984	92.800	0.00	205.0	1.26	4.53
19395	08/05/2017 2:41	20.984	92.900	0.00	212.0	0.76	3.53
19396	08/05/2017 2:51	21.079	92.800	0.00	213.4	0.76	3.27
19397	08/05/2017 3:01	20.984	92.800	0.00	212.0	0.76	3.02
19398	08/05/2017 3:11	20.960	92.800	0.00	198.0	0.50	3.02
19399	08/05/2017 3:21	20.913	92.900	0.00	199.4	1.01	3.78
19400	08/05/2017 3:31	21.008	93.100	0.00	221.8	1.01	4.28
19401	08/05/2017 3:41	21.056	93.100	0.00	212.0	0.76	3.27
19402	08/05/2017 3:51	21.056	93.200	0.00	210.6	0.76	4.53
19403	08/05/2017 4:01	20.960	93.200	0.00	199.4	0.50	2.27
19404	08/05/2017 4:11	21.032	93.300	0.00	206.4	0.76	3.53
19405	08/05/2017 4:21	21.079	93.400	0.00	196.5	0.50	3.02
19406	08/05/2017 4:31	21.079	93.400	0.00	188.1	0.76	2.77
19407	08/05/2017 4:41	21.008	93.300	0.00	224.6	0.76	3.02
19408	08/05/2017 4:51	21.056	93.400	0.00	189.5	1.01	3.02
19409	08/05/2017 5:01	21.103	93.400	0.00	153.0	0.76	3.02
19410	08/05/2017 5:11	21.008	93.400	0.00	223.2	0.76	3.02
19411	08/05/2017 5:21	21.199	93.400	0.00	235.9	0.50	2.27
19412	08/05/2017 5:31	20.936	93.200	0.00	237.3	1.01	4.03
19413	08/05/2017 5:41	20.984	93.300	0.00	212.0	0.76	3.02
19414	08/05/2017 5:51	20.984	93.200	0.00	206.4	0.76	3.53
19415	08/05/2017 6:01	20.865	93.200	0.00	200.8	1.26	4.03
19416	08/05/2017 6:11	20.889	93.200	0.00	190.9	1.01	3.27
